question_id,category,question,answer,answer_relevant,reviewer_id,notes
PRJ-012-change_impact,change_impact,Trace the requirement and incident linked to CR-012.,"Change CR-012 on Project Laurel revises acceptance requirement REQ-012. [1]
CR-012 modifies REQ-012. [2]
Incident INC-012 on Project Laurel: switchgear relay settings conflicted with the utility study. [3]
The board accepted the schedule change only after reviewing the incident and change CR-012. [4]",,,
PRJ-007-change_impact,change_impact,Trace the requirement and incident linked to CR-007.,"Change CR-007 on Project Granite revises acceptance requirement REQ-007. [1]
CR-007 modifies REQ-007. [2]
Incident INC-007 on Project Granite: cooling pump seals leaked during endurance testing. [3]
The board accepted the schedule change only after reviewing the incident and change CR-007. [4]",,,
PRJ-011-change_impact,change_impact,Trace the requirement and incident linked to CR-011.,"Change CR-011 on Project Kestrel revises acceptance requirement REQ-011. [1]
CR-011 modifies REQ-011. [2]
Incident INC-011 on Project Kestrel: cooling pump seals leaked during endurance testing. [3]
The board accepted the schedule change only after reviewing the incident and change CR-011. [4]",,,
PRJ-012-conflict,conflict,What is the current commissioning delay for Project Laurel?,Current Project Laurel status: commissioning is delayed 4 weeks. [1],,,
PRJ-009-conflict,conflict,What is the current commissioning delay for Project Iris?,Current Project Iris status: commissioning is delayed 8 weeks. [1],,,
PRJ-008-conflict,conflict,What is the current commissioning delay for Project Harbor?,Current Project Harbor status: commissioning is delayed 3 weeks. [1],,,
PRJ-008-decision,decision,Why did DEC-008 move the milestone?,"Decision DEC-008 moved MS-008 by 3 weeks because switchgear relay settings conflicted with the utility study. [1]
DEC-008 responds to INC-008. [2]
The commissioning milestone slipped by 3 weeks. [3]
The commissioning milestone slipped by 4 weeks. [4]
The commissioning milestone slipped by 5 weeks. [5]",,,
PRJ-012-decision,decision,Why did DEC-012 move the milestone?,"The commissioning milestone slipped by 3 weeks. [1]
Decision DEC-012 moved MS-012 by 4 weeks because switchgear relay settings conflicted with the utility study. [2]
DEC-012 responds to INC-012. [3]
The commissioning milestone slipped by 5 weeks. [4]
The commissioning milestone slipped by 4 weeks. [5]",,,
PRJ-007-decision,decision,Why did DEC-007 move the milestone?,"Decision DEC-007 moved MS-007 by 5 weeks because cooling pump seals leaked during endurance testing. [1]
DEC-007 responds to INC-007. [2]
The commissioning milestone slipped by 3 weeks. [3]
The commissioning milestone slipped by 4 weeks. [4]
The commissioning milestone slipped by 5 weeks. [5]",,,
PRJ-012-direct,direct,Which equipment and vendor does Project Laurel use?,"Project Laurel week 3 coordination log: site access, fencing and document control are progressing. [1]
Vendor Tidal Systems joined the meeting. [2]
Project Laurel week 1 coordination log: site access, fencing and document control are progressing. [3]
Vendor Tidal Systems joined the meeting. [4]",,,
PRJ-011-direct,direct,Which equipment and vendor does Project Kestrel use?,"Project Kestrel week 3 coordination log: site access, fencing and document control are progressing. [1]
Vendor Summit Electric joined the meeting. [2]
Project Kestrel week 1 coordination log: site access, fencing and document control are progressing. [3]
Vendor Summit Electric joined the meeting. [4]",,,
PRJ-007-direct,direct,Which equipment and vendor does Project Granite use?,"Project Granite week 3 coordination log: site access, fencing and document control are progressing. [1]
Vendor Summit Electric joined the meeting. [2]
Project Granite week 1 coordination log: site access, fencing and document control are progressing. [3]
Vendor Summit Electric joined the meeting. [4]",,,
PRJ-011-exact,exact,What requirement does CR-011 modify?,"Change CR-011 on Project Kestrel revises acceptance requirement REQ-011. [1]
CR-011 modifies REQ-011. [2]
Change CR-001 on Project Alpha revises acceptance requirement REQ-001. [3]
Change CR-010 on Project Juniper revises acceptance requirement REQ-010. [4]
Change CR-012 on Project Laurel revises acceptance requirement REQ-012. [5]
Engineering references change CR-011. [6]",,,
PRJ-010-exact,exact,What requirement does CR-010 modify?,"Change CR-010 on Project Juniper revises acceptance requirement REQ-010. [1]
CR-010 modifies REQ-010. [2]
Change CR-001 on Project Alpha revises acceptance requirement REQ-001. [3]
Change CR-012 on Project Laurel revises acceptance requirement REQ-012. [4]
Change CR-002 on Project Beta revises acceptance requirement REQ-002. [5]
Change CR-004 on Project Delta revises acceptance requirement REQ-004. [6]",,,
PRJ-007-exact,exact,What requirement does CR-007 modify?,"Change CR-007 on Project Granite revises acceptance requirement REQ-007. [1]
CR-007 modifies REQ-007. [2]
Change CR-001 on Project Alpha revises acceptance requirement REQ-001. [3]
Change CR-006 on Project Falcon revises acceptance requirement REQ-006. [4]
The board accepted the schedule change only after reviewing the incident and change CR-007. [5]
Change CR-002 on Project Beta revises acceptance requirement REQ-002. [6]",,,
PRJ-007-lesson,lesson,What should we learn from Project Granite before releasing a purchase order?,"Lesson LL-007 from Project Granite: inspect replacement seals and repeat the endurance test. [1]
Reuse this lesson at the procurement gate of future projects before purchase-order release. [2]",,,
PRJ-012-lesson,lesson,What should we learn from Project Laurel before releasing a purchase order?,"Lesson LL-012 from Project Laurel: complete an independent protection coordination review. [1]
Reuse this lesson at the procurement gate of future projects before purchase-order release. [2]",,,
