question_id,citation_id,question,document,quote,citation_relevant,reviewer_id,notes
PRJ-012-change_impact,1,Trace the requirement and incident linked to CR-012.,PRJ-012-change,Change CR-012 on Project Laurel revises acceptance requirement REQ-012.,,,
PRJ-012-change_impact,2,Trace the requirement and incident linked to CR-012.,PRJ-012-change, CR-012 modifies REQ-012.,,,
PRJ-012-change_impact,3,Trace the requirement and incident linked to CR-012.,PRJ-012-incident,Incident INC-012 on Project Laurel: switchgear relay settings conflicted with the utility study.,,,
PRJ-012-change_impact,4,Trace the requirement and incident linked to CR-012.,PRJ-012-decision, The board accepted the schedule change only after reviewing the incident and change CR-012.,,,
PRJ-007-change_impact,1,Trace the requirement and incident linked to CR-007.,PRJ-007-change,Change CR-007 on Project Granite revises acceptance requirement REQ-007.,,,
PRJ-007-change_impact,2,Trace the requirement and incident linked to CR-007.,PRJ-007-change, CR-007 modifies REQ-007.,,,
PRJ-007-change_impact,3,Trace the requirement and incident linked to CR-007.,PRJ-007-incident,Incident INC-007 on Project Granite: cooling pump seals leaked during endurance testing.,,,
PRJ-007-change_impact,4,Trace the requirement and incident linked to CR-007.,PRJ-007-decision, The board accepted the schedule change only after reviewing the incident and change CR-007.,,,
PRJ-011-change_impact,1,Trace the requirement and incident linked to CR-011.,PRJ-011-change,Change CR-011 on Project Kestrel revises acceptance requirement REQ-011.,,,
PRJ-011-change_impact,2,Trace the requirement and incident linked to CR-011.,PRJ-011-change, CR-011 modifies REQ-011.,,,
PRJ-011-change_impact,3,Trace the requirement and incident linked to CR-011.,PRJ-011-incident,Incident INC-011 on Project Kestrel: cooling pump seals leaked during endurance testing.,,,
PRJ-011-change_impact,4,Trace the requirement and incident linked to CR-011.,PRJ-011-decision, The board accepted the schedule change only after reviewing the incident and change CR-011.,,,
PRJ-012-conflict,1,What is the current commissioning delay for Project Laurel?,PRJ-012-status,Current Project Laurel status: commissioning is delayed 4 weeks.,,,
PRJ-009-conflict,1,What is the current commissioning delay for Project Iris?,PRJ-009-status,Current Project Iris status: commissioning is delayed 8 weeks.,,,
PRJ-008-conflict,1,What is the current commissioning delay for Project Harbor?,PRJ-008-status,Current Project Harbor status: commissioning is delayed 3 weeks.,,,
PRJ-008-decision,1,Why did DEC-008 move the milestone?,PRJ-008-decision,Decision DEC-008 moved MS-008 by 3 weeks because switchgear relay settings conflicted with the utility study.,,,
PRJ-008-decision,2,Why did DEC-008 move the milestone?,PRJ-008-decision, DEC-008 responds to INC-008.,,,
PRJ-008-decision,3,Why did DEC-008 move the milestone?,PRJ-002-incident, The commissioning milestone slipped by 3 weeks.,,,
PRJ-008-decision,4,Why did DEC-008 move the milestone?,PRJ-006-incident, The commissioning milestone slipped by 4 weeks.,,,
PRJ-008-decision,5,Why did DEC-008 move the milestone?,PRJ-010-incident, The commissioning milestone slipped by 5 weeks.,,,
PRJ-012-decision,1,Why did DEC-012 move the milestone?,PRJ-002-incident, The commissioning milestone slipped by 3 weeks.,,,
PRJ-012-decision,2,Why did DEC-012 move the milestone?,PRJ-012-decision,Decision DEC-012 moved MS-012 by 4 weeks because switchgear relay settings conflicted with the utility study.,,,
PRJ-012-decision,3,Why did DEC-012 move the milestone?,PRJ-012-decision, DEC-012 responds to INC-012.,,,
PRJ-012-decision,4,Why did DEC-012 move the milestone?,PRJ-010-incident, The commissioning milestone slipped by 5 weeks.,,,
PRJ-012-decision,5,Why did DEC-012 move the milestone?,PRJ-006-incident, The commissioning milestone slipped by 4 weeks.,,,
PRJ-007-decision,1,Why did DEC-007 move the milestone?,PRJ-007-decision,Decision DEC-007 moved MS-007 by 5 weeks because cooling pump seals leaked during endurance testing.,,,
PRJ-007-decision,2,Why did DEC-007 move the milestone?,PRJ-007-decision, DEC-007 responds to INC-007.,,,
PRJ-007-decision,3,Why did DEC-007 move the milestone?,PRJ-002-incident, The commissioning milestone slipped by 3 weeks.,,,
PRJ-007-decision,4,Why did DEC-007 move the milestone?,PRJ-006-incident, The commissioning milestone slipped by 4 weeks.,,,
PRJ-007-decision,5,Why did DEC-007 move the milestone?,PRJ-010-incident, The commissioning milestone slipped by 5 weeks.,,,
PRJ-012-direct,1,Which equipment and vendor does Project Laurel use?,PRJ-012-routine_2,"Project Laurel week 3 coordination log: site access, fencing and document control are progressing.",,,
PRJ-012-direct,2,Which equipment and vendor does Project Laurel use?,PRJ-012-routine_2, Vendor Tidal Systems joined the meeting.,,,
PRJ-012-direct,3,Which equipment and vendor does Project Laurel use?,PRJ-012-routine_0,"Project Laurel week 1 coordination log: site access, fencing and document control are progressing.",,,
PRJ-012-direct,4,Which equipment and vendor does Project Laurel use?,PRJ-012-routine_0, Vendor Tidal Systems joined the meeting.,,,
PRJ-011-direct,1,Which equipment and vendor does Project Kestrel use?,PRJ-011-routine_2,"Project Kestrel week 3 coordination log: site access, fencing and document control are progressing.",,,
PRJ-011-direct,2,Which equipment and vendor does Project Kestrel use?,PRJ-011-routine_2, Vendor Summit Electric joined the meeting.,,,
PRJ-011-direct,3,Which equipment and vendor does Project Kestrel use?,PRJ-011-routine_0,"Project Kestrel week 1 coordination log: site access, fencing and document control are progressing.",,,
PRJ-011-direct,4,Which equipment and vendor does Project Kestrel use?,PRJ-011-routine_0, Vendor Summit Electric joined the meeting.,,,
PRJ-007-direct,1,Which equipment and vendor does Project Granite use?,PRJ-007-routine_2,"Project Granite week 3 coordination log: site access, fencing and document control are progressing.",,,
PRJ-007-direct,2,Which equipment and vendor does Project Granite use?,PRJ-007-routine_2, Vendor Summit Electric joined the meeting.,,,
PRJ-007-direct,3,Which equipment and vendor does Project Granite use?,PRJ-007-routine_0,"Project Granite week 1 coordination log: site access, fencing and document control are progressing.",,,
PRJ-007-direct,4,Which equipment and vendor does Project Granite use?,PRJ-007-routine_0, Vendor Summit Electric joined the meeting.,,,
PRJ-011-exact,1,What requirement does CR-011 modify?,PRJ-011-change,Change CR-011 on Project Kestrel revises acceptance requirement REQ-011.,,,
PRJ-011-exact,2,What requirement does CR-011 modify?,PRJ-011-change, CR-011 modifies REQ-011.,,,
PRJ-011-exact,3,What requirement does CR-011 modify?,PRJ-001-change,Change CR-001 on Project Alpha revises acceptance requirement REQ-001.,,,
PRJ-011-exact,4,What requirement does CR-011 modify?,PRJ-010-change,Change CR-010 on Project Juniper revises acceptance requirement REQ-010.,,,
PRJ-011-exact,5,What requirement does CR-011 modify?,PRJ-012-change,Change CR-012 on Project Laurel revises acceptance requirement REQ-012.,,,
PRJ-011-exact,6,What requirement does CR-011 modify?,PRJ-011-rfi, Engineering references change CR-011.,,,
PRJ-010-exact,1,What requirement does CR-010 modify?,PRJ-010-change,Change CR-010 on Project Juniper revises acceptance requirement REQ-010.,,,
PRJ-010-exact,2,What requirement does CR-010 modify?,PRJ-010-change, CR-010 modifies REQ-010.,,,
PRJ-010-exact,3,What requirement does CR-010 modify?,PRJ-001-change,Change CR-001 on Project Alpha revises acceptance requirement REQ-001.,,,
PRJ-010-exact,4,What requirement does CR-010 modify?,PRJ-012-change,Change CR-012 on Project Laurel revises acceptance requirement REQ-012.,,,
PRJ-010-exact,5,What requirement does CR-010 modify?,PRJ-002-change,Change CR-002 on Project Beta revises acceptance requirement REQ-002.,,,
PRJ-010-exact,6,What requirement does CR-010 modify?,PRJ-004-change,Change CR-004 on Project Delta revises acceptance requirement REQ-004.,,,
PRJ-007-exact,1,What requirement does CR-007 modify?,PRJ-007-change,Change CR-007 on Project Granite revises acceptance requirement REQ-007.,,,
PRJ-007-exact,2,What requirement does CR-007 modify?,PRJ-007-change, CR-007 modifies REQ-007.,,,
PRJ-007-exact,3,What requirement does CR-007 modify?,PRJ-001-change,Change CR-001 on Project Alpha revises acceptance requirement REQ-001.,,,
PRJ-007-exact,4,What requirement does CR-007 modify?,PRJ-006-change,Change CR-006 on Project Falcon revises acceptance requirement REQ-006.,,,
PRJ-007-exact,5,What requirement does CR-007 modify?,PRJ-007-decision, The board accepted the schedule change only after reviewing the incident and change CR-007.,,,
PRJ-007-exact,6,What requirement does CR-007 modify?,PRJ-002-change,Change CR-002 on Project Beta revises acceptance requirement REQ-002.,,,
PRJ-007-lesson,1,What should we learn from Project Granite before releasing a purchase order?,PRJ-007-lesson,Lesson LL-007 from Project Granite: inspect replacement seals and repeat the endurance test.,,,
PRJ-007-lesson,2,What should we learn from Project Granite before releasing a purchase order?,PRJ-007-lesson, Reuse this lesson at the procurement gate of future projects before purchase-order release.,,,
PRJ-012-lesson,1,What should we learn from Project Laurel before releasing a purchase order?,PRJ-012-lesson,Lesson LL-012 from Project Laurel: complete an independent protection coordination review.,,,
PRJ-012-lesson,2,What should we learn from Project Laurel before releasing a purchase order?,PRJ-012-lesson, Reuse this lesson at the procurement gate of future projects before purchase-order release.,,,
PRJ-008-lesson,1,What should we learn from Project Harbor before releasing a purchase order?,PRJ-008-lesson,Lesson LL-008 from Project Harbor: complete an independent protection coordination review.,,,
PRJ-008-lesson,2,What should we learn from Project Harbor before releasing a purchase order?,PRJ-008-lesson, Reuse this lesson at the procurement gate of future projects before purchase-order release.,,,
PRJ-008-multi_hop,1,"Which active projects use the equipment affected by INC-008, and what lesson follows that incident?",PRJ-008-incident,Incident INC-008 on Project Harbor: switchgear relay settings conflicted with the utility study.,,,
PRJ-008-multi_hop,2,"Which active projects use the equipment affected by INC-008, and what lesson follows that incident?",PRJ-008-incident, INC-008 affected SWG-610.,,,
PRJ-008-multi_hop,3,"Which active projects use the equipment affected by INC-008, and what lesson follows that incident?",PRJ-008-lesson, LL-008 follows INC-008.,,,
PRJ-008-multi_hop,4,"Which active projects use the equipment affected by INC-008, and what lesson follows that incident?",PRJ-008-lesson, Reuse this lesson at the procurement gate of future projects before purchase-order release.,,,
PRJ-008-multi_hop,5,"Which active projects use the equipment affected by INC-008, and what lesson follows that incident?",PRJ-008-decision, DEC-008 responds to INC-008.,,,
PRJ-008-multi_hop,6,"Which active projects use the equipment affected by INC-008, and what lesson follows that incident?",PRJ-008-decision, The board accepted the schedule change only after reviewing the incident and change CR-008.,,,
PRJ-008-multi_hop,7,"Which active projects use the equipment affected by INC-008, and what lesson follows that incident?",PRJ-008-change, CR-008 addresses INC-008.,,,
PRJ-011-multi_hop,1,"Which active projects use the equipment affected by INC-011, and what lesson follows that incident?",PRJ-011-incident,Incident INC-011 on Project Kestrel: cooling pump seals leaked during endurance testing.,,,
PRJ-011-multi_hop,2,"Which active projects use the equipment affected by INC-011, and what lesson follows that incident?",PRJ-011-incident, INC-011 affected PUMP-310.,,,
PRJ-011-multi_hop,3,"Which active projects use the equipment affected by INC-011, and what lesson follows that incident?",PRJ-011-lesson, LL-011 follows INC-011.,,,
PRJ-011-multi_hop,4,"Which active projects use the equipment affected by INC-011, and what lesson follows that incident?",PRJ-011-lesson, Reuse this lesson at the procurement gate of future projects before purchase-order release.,,,
PRJ-011-multi_hop,5,"Which active projects use the equipment affected by INC-011, and what lesson follows that incident?",PRJ-011-decision, DEC-011 responds to INC-011.,,,
PRJ-011-multi_hop,6,"Which active projects use the equipment affected by INC-011, and what lesson follows that incident?",PRJ-011-decision, The board accepted the schedule change only after reviewing the incident and change CR-011.,,,
PRJ-011-multi_hop,7,"Which active projects use the equipment affected by INC-011, and what lesson follows that incident?",PRJ-011-change, CR-011 addresses INC-011.,,,
PRJ-007-multi_hop,1,"Which active projects use the equipment affected by INC-007, and what lesson follows that incident?",PRJ-007-incident,Incident INC-007 on Project Granite: cooling pump seals leaked during endurance testing.,,,
PRJ-007-multi_hop,2,"Which active projects use the equipment affected by INC-007, and what lesson follows that incident?",PRJ-007-incident, INC-007 affected PUMP-310.,,,
PRJ-007-multi_hop,3,"Which active projects use the equipment affected by INC-007, and what lesson follows that incident?",PRJ-007-lesson, LL-007 follows INC-007.,,,
PRJ-007-multi_hop,4,"Which active projects use the equipment affected by INC-007, and what lesson follows that incident?",PRJ-007-lesson, Reuse this lesson at the procurement gate of future projects before purchase-order release.,,,
PRJ-007-multi_hop,5,"Which active projects use the equipment affected by INC-007, and what lesson follows that incident?",PRJ-007-decision, DEC-007 responds to INC-007.,,,
PRJ-007-multi_hop,6,"Which active projects use the equipment affected by INC-007, and what lesson follows that incident?",PRJ-007-decision, The board accepted the schedule change only after reviewing the incident and change CR-007.,,,
PRJ-007-multi_hop,7,"Which active projects use the equipment affected by INC-007, and what lesson follows that incident?",PRJ-007-change, CR-007 addresses INC-007.,,,
PRJ-011-risk,1,What triggers RISK-011 and what response is planned?,PRJ-001-risk, Response: require witnessed factory acceptance before shipment.,,,
PRJ-011-risk,2,What triggers RISK-011 and what response is planned?,PRJ-011-risk,Risk RISK-011 for Project Kestrel: repeat PUMP-310 acceptance failure could delay energization.,,,
PRJ-011-risk,3,What triggers RISK-011 and what response is planned?,PRJ-011-risk, RISK-011 threatens MS-011.,,,
PRJ-011-risk,4,What triggers RISK-011 and what response is planned?,PRJ-002-risk, Response: validate firmware interoperability in a hardware-in-the-loop test.,,,
PRJ-011-risk,5,What triggers RISK-011 and what response is planned?,PRJ-003-risk, Response: inspect replacement seals and repeat the endurance test.,,,
PRJ-011-risk,6,What triggers RISK-011 and what response is planned?,PRJ-010-risk, Response: validate firmware interoperability in a hardware-in-the-loop test.,,,
PRJ-008-risk,1,What triggers RISK-008 and what response is planned?,PRJ-008-risk,Risk RISK-008 for Project Harbor: repeat SWG-610 acceptance failure could delay energization.,,,
PRJ-008-risk,2,What triggers RISK-008 and what response is planned?,PRJ-008-risk, RISK-008 threatens MS-008.,,,
PRJ-008-risk,3,What triggers RISK-008 and what response is planned?,PRJ-001-risk, Response: require witnessed factory acceptance before shipment.,,,
PRJ-008-risk,4,What triggers RISK-008 and what response is planned?,PRJ-009-risk, Response: require witnessed factory acceptance before shipment.,,,
PRJ-008-risk,5,What triggers RISK-008 and what response is planned?,PRJ-003-risk, Response: inspect replacement seals and repeat the endurance test.,,,
PRJ-008-risk,6,What triggers RISK-008 and what response is planned?,PRJ-002-risk, Response: validate firmware interoperability in a hardware-in-the-loop test.,,,
PRJ-010-risk,1,What triggers RISK-010 and what response is planned?,PRJ-010-risk,Risk RISK-010 for Project Juniper: repeat CTRL-420 acceptance failure could delay energization.,,,
PRJ-010-risk,2,What triggers RISK-010 and what response is planned?,PRJ-010-risk, RISK-010 threatens MS-010.,,,
PRJ-010-risk,3,What triggers RISK-010 and what response is planned?,PRJ-001-risk, Response: require witnessed factory acceptance before shipment.,,,
PRJ-010-risk,4,What triggers RISK-010 and what response is planned?,PRJ-003-risk, Response: inspect replacement seals and repeat the endurance test.,,,
PRJ-010-risk,5,What triggers RISK-010 and what response is planned?,PRJ-002-risk, Response: validate firmware interoperability in a hardware-in-the-loop test.,,,
PRJ-010-risk,6,What triggers RISK-010 and what response is planned?,PRJ-012-risk, Response: complete an independent protection coordination review.,,,
PRJ-008-semantic,1,What caused Project Harbor to fall behind its commissioning schedule?,PRJ-008-status,Current Project Harbor status: commissioning is delayed 3 weeks.,,,
PRJ-008-semantic,2,What caused Project Harbor to fall behind its commissioning schedule?,PRJ-008-incident,Incident INC-008 on Project Harbor: switchgear relay settings conflicted with the utility study.,,,
PRJ-008-semantic,3,What caused Project Harbor to fall behind its commissioning schedule?,PRJ-008-incident, The commissioning milestone slipped by 3 weeks.,,,
PRJ-010-semantic,1,What caused Project Juniper to fall behind its commissioning schedule?,PRJ-010-status,Current Project Juniper status: commissioning is delayed 5 weeks.,,,
PRJ-010-semantic,2,What caused Project Juniper to fall behind its commissioning schedule?,PRJ-010-incident,Incident INC-010 on Project Juniper: controller firmware dropped synchronization messages.,,,
PRJ-010-semantic,3,What caused Project Juniper to fall behind its commissioning schedule?,PRJ-010-incident, The commissioning milestone slipped by 5 weeks.,,,
PRJ-009-semantic,1,What caused Project Iris to fall behind its commissioning schedule?,PRJ-009-status,Current Project Iris status: commissioning is delayed 8 weeks.,,,
PRJ-009-semantic,2,What caused Project Iris to fall behind its commissioning schedule?,PRJ-009-incident,Incident INC-009 on Project Iris: transformer winding insulation failed factory testing.,,,
